"","targetRisk","targetReturn"
"1",0.0489197957335693,0.0277777777613458
"2",0.0814454261108267,0.0509013605442177
"3",0.146580205680457,0.0740249433106576
"4",0.216645107537521,0.0971485260770975
"5",0.288064914910219,0.120272108843537
"6",0.360034212880092,0.143395691609977
"7",0.432278637392379,0.166519274376417
"8",0.504680050038739,0.189642857142857
"9",0.577179376041855,0.212766439909297
"10",0.649743840300695,0.235890022675737
"11",0.722353812580091,0.259013605442177
"12",0.794996823735138,0.282137188208617
"13",0.867664575517863,0.305260770975057
"14",0.940351332283789,0.328384353741497
"15",1.01305300320707,0.351507936507937
"16",1.08576659238784,0.374631519274376
"17",1.15848985564994,0.397755102040816
"18",1.23122107876766,0.420878684807256
"19",1.30395892980547,0.444002267573696
"20",1.37670235820846,0.467125850340136
"21",1.44945052424487,0.490249433106576
"22",1.52220274866076,0.513373015873016
"23",1.59495847610108,0.536496598639456
"24",1.66771724809773,0.559620181405896
"25",1.7404786828279,0.582743764172336
"26",1.81324245974267,0.605867346938776
"27",1.88600830775176,0.628990929705216
"28",1.95877599604021,0.652114512471655
"29",2.03154532685777,0.675238095238095
"30",2.10431612980361,0.698361678004535
"31",2.17708825725676,0.721485260770975
"32",2.24986158069305,0.744608843537415
"33",2.32263598769408,0.767732426303855
"34",2.3954113795013,0.790856009070295
"35",2.46818766900263,0.813979591836735
"36",2.54096477906496,0.837103174603175
"37",2.61374264114513,0.860226757369614
"38",2.68652119412665,0.883350340136054
"39",2.75930038334044,0.906473922902494
"40",2.83208015973654,0.929597505668934
"41",2.90486047918032,0.952721088435374
"42",2.97764130185181,0.975844671201814
"43",3.05042259173109,0.998968253968254
"44",3.12320431615556,1.02209183673469
"45",3.19598644543774,1.04521541950113
"46",3.26876895253404,1.06833900226757
"47",3.34155181275688,1.09146258503401
"48",3.42764054871754,1.11458616780045
"49",3.5831757343006,1.13770975056689
"50",4.13045479332987,1.16083331603557
